Week 4

AWAY,,HOME,,,PICK,RANK
New York Giants,,Washington Redskins,,,Washington Redskins,8
Buffalo Bills,,Houston Texans,,,Houston Texans,4
Carolina Panthers,,Baltimore Ravens,,,Baltimore Ravens,6
Detroit Lions,,New York Jets,,,Detroit Lions,2
Green Bay Packers,,Chicago Bears,,,Green Bay Packers,1
Miami Dolphins,,Oakland Raiders,,,Miami Dolphins,9
Tampa Bay Buccaneers,,Pittsburgh Steelers,,,Pittsburgh Steelers,12
Tennessee Titans,,Indianapolis Colts,,,Indianapolis Colts,11
Jacksonville Jaguars,,San Diego Chargers,,,San Diego Chargers,13
Atlanta Falcons,,Minnesota Vikings,,,Atlanta Falcons,3
Philadelphia Eagles,,San Francisco 49ers,,,San Francisco 49ers,10
New Orleans Saints,,Dallas Cowboys,,,New Orleans Saints,5
New England Patriots,,Kansas City Chiefs,,,New England Patriots,7
