Week 12

AWAY,,HOME,,,PICK,RANK
Kansas City Chiefs,,Oakland Raiders,,,Kansas City Chiefs,10
Cincinnati Bengals,,Houston Texans,,,Houston Texans,1
Cleveland Browns,,Atlanta Falcons,,,Atlanta Falcons,3
Detroit Lions,,New England Patriots,,,New England Patriots,11
Green Bay Packers,,Minnesota Vikings,,,Green Bay Packers,13
Jacksonville Jaguars,,Indianapolis Colts,,,Indianapolis Colts,15
New York Jets,,Buffalo Bills,,,Buffalo Bills,5
Tampa Bay Buccaneers,,Chicago Bears,,,Chicago Bears,7
Tennessee Titans,,Philadelphia Eagles,,,Philadelphia Eagles,14
Arizona Cardinals,,Seattle Seahawks,,,Seattle Seahawks,8
St. Louis Rams,,San Diego Chargers,,,San Diego Chargers,6
Miami Dolphins,,Denver Broncos,,,Denver Broncos,9
Washington Redskins,,San Francisco 49ers,,,San Francisco 49ers,12
Dallas Cowboys,,New York Giants,,,Dallas Cowboys,2
Baltimore Ravens,,New Orleans Saints,,,New Orleans Saints,4
