Week 16

AWAY,,HOME,,,PICK,RANK
Tennessee Titans,,Jacksonville Jaguars,,,Jacksonville Jaguars,4
Philadelphia Eagles,,Washington Redskins,,,Philadelphia Eagles,13
San Diego Chargers,,San Francisco 49ers,,,San Francisco 49ers,1
Atlanta Falcons,,New Orleans Saints,,,New Orleans Saints,10
Baltimore Ravens,,Houston Texans,,,Baltimore Ravens,8
Cleveland Browns,,Carolina Panthers,,,Carolina Panthers,6
Detroit Lions,,Chicago Bears,,,Detroit Lions,11
Green Bay Packers,,Tampa Bay Buccaneers,,,Green Bay Packers,16
Kansas City Chiefs,,Pittsburgh Steelers,,,Pittsburgh Steelers,5
Minnesota Vikings,,Miami Dolphins,,,Miami Dolphins,12
New England Patriots,,New York Jets,,,New England Patriots,15
New York Giants,,St. Louis Rams,,,St. Louis Rams,7
Buffalo Bills,,Oakland Raiders,,,Buffalo Bills,9
Indianapolis Colts,,Dallas Cowboys,,,Dallas Cowboys,2
Seattle Seahawks,,Arizona Cardinals,,,Seattle Seahawks,14
Denver Broncos,,Cincinnati Bengals,,,Denver Broncos,3
