Week 1

AWAY,,HOME,,,PICK,RANK
Green Bay Packers,,Seattle Seahawks,,,Seattle Seahawks,9
Buffalo Bills,,Chicago Bears,,,Chicago Bears,14
Cincinnati Bengals,,Baltimore Ravens,,,Baltimore Ravens,1
Cleveland Browns,,Pittsburgh Steelers,,,Pittsburgh Steelers,13
Jacksonville Jaguars,,Philadelphia Eagles,,,Philadelphia Eagles,16
Minnesota Vikings,,St. Louis Rams,,,St. Louis Rams,7
New Orleans Saints,,Atlanta Falcons,,,New Orleans Saints,3
New England Patriots,,Miami Dolphins,,,New England Patriots,10
Oakland Raiders,,New York Jets,,,New York Jets,11
Tennessee Titans,,Kansas City Chiefs,,,Kansas City Chiefs,6
Washington Redskins,,Houston Texans,,,Houston Texans,4
Carolina Panthers,,Tampa Bay Buccaneers,,,Tampa Bay Buccaneers,2
San Francisco 49ers,,Dallas Cowboys,,,San Francisco 49ers,8
Indianapolis Colts,,Denver Broncos,,,Denver Broncos,15
New York Giants,,Detroit Lions,,,Detroit Lions,12
San Diego Chargers,,Arizona Cardinals,,,Arizona Cardinals,5
