Week 17

AWAY,,HOME,,,PICK,RANK
Buffalo Bills,,New England Patriots,,,New England Patriots,6
Chicago Bears,,Minnesota Vikings,,,Minnesota Vikings,9
Cleveland Browns,,Baltimore Ravens,,,Baltimore Ravens,13
Dallas Cowboys,,Washington Redskins,,,Dallas Cowboys,10
Indianapolis Colts,,Tennessee Titans,,,Indianapolis Colts,11
Jacksonville Jaguars,,Houston Texans,,,Houston Texans,14
New Orleans Saints,,Tampa Bay Buccaneers,,,New Orleans Saints,4
New York Jets,,Miami Dolphins,,,Miami Dolphins,7
Philadelphia Eagles,,New York Giants,,,New York Giants,2
San Diego Chargers,,Kansas City Chiefs,,,Kansas City Chiefs,1
Arizona Cardinals,,San Francisco 49ers,,,San Francisco 49ers,8
Carolina Panthers,,Atlanta Falcons,,,Atlanta Falcons,5
Detroit Lions,,Green Bay Packers,,,Green Bay Packers,12
Oakland Raiders,,Denver Broncos,,,Denver Broncos,16
St. Louis Rams,,Seattle Seahawks,,,Seattle Seahawks,15
Cincinnati Bengals,,Pittsburgh Steelers,,,Pittsburgh Steelers,3
