Week 13

AWAY,,HOME,,,PICK,RANK
Chicago Bears,,Detroit Lions,,,Detroit Lions,14
Philadelphia Eagles,,Dallas Cowboys,,,Dallas Cowboys,8
Seattle Seahawks,,San Francisco 49ers,,,San Francisco 49ers,1
Carolina Panthers,,Minnesota Vikings,,,Minnesota Vikings,5
Cincinnati Bengals,,Tampa Bay Buccaneers,,,Cincinnati Bengals,10
Cleveland Browns,,Buffalo Bills,,,Buffalo Bills,6
New Orleans Saints,,Pittsburgh Steelers,,,Pittsburgh Steelers,9
New York Giants,,Jacksonville Jaguars,,,New York Giants,3
Oakland Raiders,,St. Louis Rams,,,St. Louis Rams,15
San Diego Chargers,,Baltimore Ravens,,,Baltimore Ravens,11
Tennessee Titans,,Houston Texans,,,Houston Texans,13
Washington Redskins,,Indianapolis Colts,,,Indianapolis Colts,16
Arizona Cardinals,,Atlanta Falcons,,,Arizona Cardinals,4
New England Patriots,,Green Bay Packers,,,Green Bay Packers,7
Denver Broncos,,Kansas City Chiefs,,,Denver Broncos,2
Miami Dolphins,,New York Jets,,,Miami Dolphins,12
