Week 9

AWAY,,HOME,,,PICK,RANK
New Orleans Saints,,Carolina Panthers,,,New Orleans Saints,6
Arizona Cardinals,,Dallas Cowboys,,,Dallas Cowboys,8
Jacksonville Jaguars,,Cincinnati Bengals,,,Cincinnati Bengals,12
New York Jets,,Kansas City Chiefs,,,Kansas City Chiefs,10
Philadelphia Eagles,,Houston Texans,,,Philadelphia Eagles,4
San Diego Chargers,,Miami Dolphins,,,Miami Dolphins,3
Tampa Bay Buccaneers,,Cleveland Browns,,,Cleveland Browns,9
Washington Redskins,,Minnesota Vikings,,,Minnesota Vikings,1
St. Louis Rams,,San Francisco 49ers,,,San Francisco 49ers,11
Denver Broncos,,New England Patriots,,,Denver Broncos,5
Oakland Raiders,,Seattle Seahawks,,,Seattle Seahawks,13
Baltimore Ravens,,Pittsburgh Steelers,,,Pittsburgh Steelers,2
Indianapolis Colts,,New York Giants,,,Indianapolis Colts,7
