Week 8

AWAY,,HOME,,,PICK,RANK
San Diego Chargers,,Denver Broncos,,,Denver Broncos,14
Detroit Lions,,Atlanta Falcons,,,Detroit Lions,8
Baltimore Ravens,,Cincinnati Bengals,,,Cincinnati Bengals,2
Buffalo Bills,,New York Jets,,,New York Jets,5
Chicago Bears,,New England Patriots,,,New England Patriots,10
Houston Texans,,Tennessee Titans,,,Houston Texans,1
Miami Dolphins,,Jacksonville Jaguars,,,Miami Dolphins,11
Minnesota Vikings,,Tampa Bay Buccaneers,,,Tampa Bay Buccaneers,7
Seattle Seahawks,,Carolina Panthers,,,Seattle Seahawks,9
St. Louis Rams,,Kansas City Chiefs,,,Kansas City Chiefs,12
Philadelphia Eagles,,Arizona Cardinals,,,Arizona Cardinals,4
Indianapolis Colts,,Pittsburgh Steelers,,,Indianapolis Colts,6
Oakland Raiders,,Cleveland Browns,,,Cleveland Browns,13
Green Bay Packers,,New Orleans Saints,,,New Orleans Saints,3
Washington Redskins,,Dallas Cowboys,,,Dallas Cowboys,15
